time_s,time_e,event_s,event_e,player_1,player_2,player_3,player_4,player_5,team_id,game_id,period
7200,3000,2,85,48ec4e6c52f418d5ca4ef510ba473ea0,616281dee946056b071699476fdee9ec,e814950408915f43de2b079dce7c21c5,99104de2626f67c1fa2ce70504970c3f,d81d912f81fa43178f423aa89a713e96,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,1
3000,2390,85,98,48ec4e6c52f418d5ca4ef510ba473ea0,616281dee946056b071699476fdee9ec,e814950408915f43de2b079dce7c21c5,4413c19cf092bda39332d7833c90bfe6,d81d912f81fa43178f423aa89a713e96,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,1
2390,1850,98,113,48ec4e6c52f418d5ca4ef510ba473ea0,616281dee946056b071699476fdee9ec,e814950408915f43de2b079dce7c21c5,4413c19cf092bda39332d7833c90bfe6,44230324724c84f122ac62a5f0918314,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,1
1850,1380,113,127,48ec4e6c52f418d5ca4ef510ba473ea0,5cce6ffa455e6372d9de0de400482ab6,e814950408915f43de2b079dce7c21c5,4413c19cf092bda39332d7833c90bfe6,44230324724c84f122ac62a5f0918314,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,1
1380,1120,127,135,4ef3dae16c436459ff05156abca5cebd,5cce6ffa455e6372d9de0de400482ab6,e814950408915f43de2b079dce7c21c5,4413c19cf092bda39332d7833c90bfe6,44230324724c84f122ac62a5f0918314,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,1
1120,0,135,152,4ef3dae16c436459ff05156abca5cebd,5cce6ffa455e6372d9de0de400482ab6,e814950408915f43de2b079dce7c21c5,99104de2626f67c1fa2ce70504970c3f,44230324724c84f122ac62a5f0918314,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,1
7200,3560,158,225,44230324724c84f122ac62a5f0918314,99104de2626f67c1fa2ce70504970c3f,4ef3dae16c436459ff05156abca5cebd,5cce6ffa455e6372d9de0de400482ab6,4dd3d6a51dc97c651d3a86eec4362a1f,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,2
3560,2970,226,237,48ec4e6c52f418d5ca4ef510ba473ea0,99104de2626f67c1fa2ce70504970c3f,e814950408915f43de2b079dce7c21c5,5cce6ffa455e6372d9de0de400482ab6,4dd3d6a51dc97c651d3a86eec4362a1f,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,2
2970,2390,238,247,48ec4e6c52f418d5ca4ef510ba473ea0,4413c19cf092bda39332d7833c90bfe6,e814950408915f43de2b079dce7c21c5,616281dee946056b071699476fdee9ec,4dd3d6a51dc97c651d3a86eec4362a1f,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,2
2390,0,247,288,48ec4e6c52f418d5ca4ef510ba473ea0,4413c19cf092bda39332d7833c90bfe6,e814950408915f43de2b079dce7c21c5,616281dee946056b071699476fdee9ec,d81d912f81fa43178f423aa89a713e96,45ba8fc87f55b1191c50c400dc7ed11c,006728e4c10e957011e1f24878e6054a,2
