team_id,player_id,game_id,period,event_num_sub,off_total,def_total,off_poss,def_poss
45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,006728e4c10e957011e1f24878e6054a,1,null,13,20,13,14,27
45ba8fc87f55b1191c50c400dc7ed11c,616281dee946056b071699476fdee9ec,006728e4c10e957011e1f24878e6054a,1,null,13,20,13,14,27
45ba8fc87f55b1191c50c400dc7ed11c,e814950408915f43de2b079dce7c21c5,006728e4c10e957011e1f24878e6054a,1,null,13,20,13,14,27
45ba8fc87f55b1191c50c400dc7ed11c,99104de2626f67c1fa2ce70504970c3f,006728e4c10e957011e1f24878e6054a,1,null,13,20,13,14,27
45ba8fc87f55b1191c50c400dc7ed11c,d81d912f81fa43178f423aa89a713e96,006728e4c10e957011e1f24878e6054a,1,null,13,20,13,14,27
45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,006728e4c10e957011e1f24878e6054a,1,85,3,2,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,616281dee946056b071699476fdee9ec,006728e4c10e957011e1f24878e6054a,1,85,3,2,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,e814950408915f43de2b079dce7c21c5,006728e4c10e957011e1f24878e6054a,1,85,3,2,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,4413c19cf092bda39332d7833c90bfe6,006728e4c10e957011e1f24878e6054a,1,85,3,2,2,3,5
45ba8fc87f55b1191c50c400dc7ed11c,d81d912f81fa43178f423aa89a713e96,006728e4c10e957011e1f24878e6054a,1,85,3,2,1,2,3
45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,006728e4c10e957011e1f24878e6054a,1,98,0,0,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,616281dee946056b071699476fdee9ec,006728e4c10e957011e1f24878e6054a,1,98,0,0,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,e814950408915f43de2b079dce7c21c5,006728e4c10e957011e1f24878e6054a,1,98,0,0,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,4413c19cf092bda39332d7833c90bfe6,006728e4c10e957011e1f24878e6054a,1,98,0,0,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,44230324724c84f122ac62a5f0918314,006728e4c10e957011e1f24878e6054a,1,98,0,0,2,3,5
45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,006728e4c10e957011e1f24878e6054a,1,113,0,2,2,1,3
45ba8fc87f55b1191c50c400dc7ed11c,5cce6ffa455e6372d9de0de400482ab6,006728e4c10e957011e1f24878e6054a,1,113,0,2,2,2,4
45ba8fc87f55b1191c50c400dc7ed11c,e814950408915f43de2b079dce7c21c5,006728e4c10e957011e1f24878e6054a,1,113,0,2,2,1,3
45ba8fc87f55b1191c50c400dc7ed11c,4413c19cf092bda39332d7833c90bfe6,006728e4c10e957011e1f24878e6054a,1,113,0,2,2,1,3
45ba8fc87f55b1191c50c400dc7ed11c,44230324724c84f122ac62a5f0918314,006728e4c10e957011e1f24878e6054a,1,113,0,2,2,1,3
45ba8fc87f55b1191c50c400dc7ed11c,4ef3dae16c436459ff05156abca5cebd,006728e4c10e957011e1f24878e6054a,1,127,2,2,1,1,2
